,Type,Name,Docstring,Depth
171,F,gen.fix_seeds,,1
172,F,gen.float_linspace,,1
173,F,gen.gen_ID,,1
174,F,gen.get_spath,,1
175,F,gen.glob,,1
176,F,gen.inspect_module,,1
177,F,gen.is_defined_global,,1
178,F,gen.is_defined_local,,1
179,F,gen.is_host,,1
180,F,gen.is_ipython,,1
181,F,gen.is_later_or_equal,,1
182,F,gen.is_nan,,1
183,F,gen.is_script,,1
184,F,gen.isclose,,1
185,F,gen.keys2npa,,1
186,F,gen.less,,1
187,F,gen.list_packages,,1
188,F,gen.load,,1
189,F,gen.loadmat,,1
190,F,gen.lru_cache,,1
191,F,gen.main,,1
192,F,gen.mat2dict,,1
193,F,gen.mat2npa,,1
194,F,gen.mat2npy,,1
195,M,gen.misc,,1
196,M,gen.misc.mngs.gen.misc,,2
197,C,gen.misc.ThreadWithReturnValue,,2
198,F,gen.misc.copy_files,,2
199,F,gen.misc.copy_the_file,,2
200,F,gen.misc.describe,,2
201,F,gen.misc.find_closest,,2
202,F,gen.misc.float_linspace,,2
203,F,gen.misc.is_defined_global,,2
204,F,gen.misc.is_defined_local,,2
205,F,gen.misc.is_later_or_equal,,2
206,F,gen.misc.is_nan,,2
207,F,gen.misc.isclose,,2
208,F,gen.misc.partial_at,,2
209,F,gen.misc.replace,,2
210,F,gen.misc.unique,,2
211,F,gen.misc.uq,,2
212,F,gen.misc.wait_key,,2
213,F,gen.misc.wraps,,2
214,F,gen.mngs_gen_notify,,1
215,F,gen.mngs_io_flush,,1
216,F,gen.mngs_io_save,,1
217,F,gen.nanstd,,1
218,F,gen.numpy_fn,,1
219,F,gen.partial_at,,1
220,F,gen.paste,,1
221,M,gen.path,,1
222,M,gen.path.mngs.gen.path,,2
223,F,gen.pprint,,1
224,F,gen.print_config,,1
225,F,gen.print_config_main,,1
226,F,gen.printc,,1
227,F,gen.public_keys,,1
228,F,gen.quiet,,1
229,C,gen.redirect_stderr,,1
230,C,gen.redirect_stdout,,1
231,F,gen.replace,,1
232,F,gen.run_shellcommand,,1
233,F,gen.run_shellscript,,1
234,F,gen.running2finished,,1
235,F,gen.save_npa,,1
236,F,gen.sh,,1
237,F,gen.simplify_relative_path,,1
238,F,gen.split,,1
239,F,gen.src,,1
240,F,gen.start,,1
241,F,gen.suppress_output,,1
242,F,gen.symlink,,1
243,F,gen.symlog,,1
244,F,gen.tee,,1
245,F,gen.timeout,,1
246,F,gen.title2path,,1
247,F,gen.title_case,,1
248,F,gen.to_1_1,,1
249,F,gen.to_even,,1
250,F,gen.to_nanz,,1
251,F,gen.to_odd,,1
252,F,gen.to_rank,,1
253,F,gen.to_z,,1
254,F,gen.torch_fn,,1
255,F,gen.transpose,,1
256,F,gen.unbias,,1
257,F,gen.unique,,1
258,F,gen.uq,,1
259,F,gen.verify_host,,1
260,F,gen.wait_key,,1
261,F,gen.wrap,,1
262,F,gen.wraps,,1
263,F,gen.xml2dict,,1
264,M,gists,,0
265,M,gists.mngs.gists,,1
266,F,gists.SigMacro_processFigure_S,,1
267,F,gists.SigMacro_toBlue,,1
268,M,io,,0
269,M,io.mngs.io,,1
270,C,io.Any,,1
271,C,io.DotDict,,1
272,C,io.Path,,1
273,C,io.YAML,,1
274,F,io.cache,,1
275,F,io.clean,,1
276,F,io.color_text,,1
277,F,io.find,,1
278,F,io.find_latest,,1
279,F,io.find_the_git_root_dir,,1
280,F,io.flush,,1
281,F,io.get_data_path_from_a_package,,1
282,F,io.getsize,,1
283,F,io.glob,,1
284,F,io.is_listed_X,,1
285,F,io.load,,1
286,F,io.load_configs,,1
287,F,io.load_markdown,,1
288,F,io.load_study_rdb,,1
289,F,io.load_yaml_as_an_optuna_dict,,1
290,F,io.move,,1
291,F,io.natsorted,,1
292,F,io.reload,,1
293,F,io.save,,1
294,F,io.save_optuna_study_as_csv_and_pngs,,1
295,F,io.sh,,1
296,F,io.split,,1
297,F,io.split_fpath,,1
298,F,io.this_path,,1
299,F,io.touch,,1
300,M,linalg,,0
301,M,linalg.mngs.linalg,,1
302,F,linalg.cdist,,1
303,F,linalg.cosine,,1
304,F,linalg.edist,,1
305,F,linalg.euclidean_distance,,1
306,F,linalg.geometric_median,,1
307,F,linalg.nannorm,,1
308,F,linalg.rebase_a_vec,,1
309,F,linalg.three_line_lengths_to_coords,,1
310,M,nn,,0
311,M,nn.mngs.nn,,1
312,C,nn.AxiswiseDropout,,1
313,C,nn.BNet,,1
314,C,nn.BandPassFilter,,1
315,C,nn.BandStopFilter,,1
316,C,nn.ChannelGainChanger,,1
317,C,nn.DifferentiableBandPassFilter,,1
318,C,nn.DropoutChannels,,1
319,C,nn.FreqGainChanger,,1
320,C,nn.GaussianFilter,,1
321,C,nn.HighPassFilter,,1
322,C,nn.Hilbert,,1
323,C,nn.LowPassFilter,,1
324,C,nn.MNet_1000,,1
325,C,nn.ModulationIndex,,1
326,C,nn.PAC,,1
327,C,nn.PSD,,1
328,C,nn.ResNet1D,,1
329,C,nn.ResNetBasicBlock,,1
330,C,nn.SpatialAttention,,1
331,C,nn.SwapChannels,,1
332,C,nn.TransposeLayer,,1
333,C,nn.Wavelet,,1
334,M,os,,0
335,M,os.mngs.os,,1
336,F,os.mv,,1
337,M,path,,0
338,M,path.mngs.path,,1
339,F,path.clean,,1
340,F,path.find_dir,,1
341,F,path.find_file,,1
342,F,path.find_git_root,,1
343,F,path.find_latest,,1
344,F,path.get_spath,,1
345,F,path.get_this_path,,1
346,F,path.getsize,,1
347,F,path.glob,,1
348,F,path.increment_version,,1
349,F,path.mk_spath,,1
350,F,path.split,,1
351,F,path.this_path,,1
352,M,pd,,0
353,M,pd.mngs.pd,,1
354,C,pd.IDAllocator,,1
355,F,pd.col_to_last,,1
356,F,pd.col_to_top,,1
357,F,pd.deepcopy,,1
358,F,pd.find_indi,,1
359,F,pd.find_pval,,1
360,F,pd.force_df,,1
361,F,pd.from_xyz,,1
362,F,pd.ignore_SettingWithCopyWarning,,1
363,F,pd.main,,1
364,F,pd.melt_cols,,1
365,F,pd.merge_cols,,1
366,F,pd.merge_columns,,1
367,F,pd.mv,,1
368,F,pd.mv_to_first,,1
369,F,pd.mv_to_last,,1
370,F,pd.replace,,1
371,F,pd.round,,1
372,F,pd.slice,,1
373,F,pd.sort,,1
374,F,pd.to_xy,,1
375,F,pd.to_xyz,,1
376,M,plt,,0
377,M,plt.mngs.plt,,1
378,C,plt.ColorGetter,,1
379,F,plt.add_hue,,1
380,F,plt.annotated_heatmap,,1
381,F,plt.configure_mpl,,1
382,F,plt.cycle_color,,1
383,F,plt.draw_a_cube,,1
384,F,plt.get_RGBA_from_colormap,,1
385,F,plt.get_mpl_color,,1
386,F,plt.glob,,1
387,F,plt.gradiate_color,,1
388,F,plt.grid_image,,1
389,F,plt.interp_colors,,1
390,F,plt.main,,1
391,F,plt.mk_colorbar,,1
392,F,plt.mk_patches,,1
393,F,plt.natsorted,,1
394,F,plt.pprint,,1
395,F,plt.rgb2rgba,,1
396,F,plt.rgba2hex,,1
397,F,plt.rgba2rgb,,1
398,F,plt.termplot,,1
399,F,plt.to_hex,,1
400,F,plt.to_rgb,,1
401,F,plt.to_rgba,,1
402,C,plt.tqdm,,1
403,F,plt.update_alpha,,1
404,F,plt.vizualize_colors,,1
405,M,reproduce,,0
406,M,reproduce.mngs.reproduce,,1
407,F,reproduce.fix_seeds,,1
408,F,reproduce.gen_ID,,1
409,F,reproduce.gen_timestamp,,1
410,M,resource,,0
411,M,resource.mngs.resource,,1
412,F,resource.get_proc_usages,,1
413,F,resource.get_specs,,1
414,F,resource.rec_procs,,1
415,F,sh,,0
416,M,stats,,0
417,M,stats.mngs.stats,,1
418,F,stats.calc_partial_corr,,1
419,M,stats.descriptive,,1
420,M,stats.descriptive.mngs.stats.descriptive,,2
421,F,stats.descriptive.kurtosis,,2
422,F,stats.descriptive.mean,,2
423,F,stats.descriptive.median,,2
424,F,stats.descriptive.q,,2
425,F,stats.descriptive.skewness,,2
426,F,stats.descriptive.std,,2
427,F,stats.descriptive.torch_fn,,2
428,F,stats.descriptive.zscore,,2
429,M,stats.multiple,,1
430,M,stats.multiple.mngs.stats.multiple,,2
431,C,stats.multiple.MultiComparison,,2
432,F,stats.multiple.bonferroni_correction,,2
433,F,stats.multiple.bonferroni_correction_torch,,2
434,F,stats.multiple.fdr_correction,,2
435,F,stats.multiple.fdrcorrection,,2
436,F,stats.multiple.multicompair,,2
437,F,stats.multiple.pandas_fn,,2
438,F,stats.p2stars,,1
439,M,stats.tests,,1
440,M,stats.tests.mngs.stats.tests,,2
441,C,stats.tests.Any,,2
442,F,stats.tests.brunner_munzel_test,,2
443,F,stats.tests.calc_partial_corrcoef,,2
444,F,stats.tests.corr_test,,2
445,F,stats.tests.corr_test_pearson,,2
446,F,stats.tests.corr_test_spearman,,2
447,F,stats.tests.nocorrelation_test,,2
448,F,stats.tests.numpy_fn,,2
449,C,stats.tests.partial,,2
450,F,stats.tests.smirnov_grubbs,,2
451,M,str,,0
452,M,str.mngs.str,,1
453,F,str.add_hat_in_latex_style,,1
454,F,str.clean,,1
455,F,str.color_text,,1
456,F,str.ct,,1
457,F,str.decapitalize,,1
458,F,str.grep,,1
459,F,str.mask_api,,1
460,F,str.parse,,1
461,F,str.printc,,1
462,F,str.readable_bytes,,1
463,F,str.remove_ansi,,1
464,F,str.search,,1
465,F,str.squeeze_spaces,,1
466,F,str.to_latex_style,,1
467,M,tex,,0
468,M,tex.mngs.tex,,1
469,F,tex.preview,,1
470,F,tex.to_vec,,1
471,M,torch,,0
472,M,torch.mngs.torch,,1
473,F,torch.apply_to,,1
474,F,torch.nanargmax,,1
475,F,torch.nanargmin,,1
476,F,torch.nancumprod,,1
477,F,torch.nancumsum,,1
478,F,torch.nanmax,,1
479,F,torch.nanmin,,1
480,F,torch.nanprod,,1
481,F,torch.nanstd,,1
482,F,torch.nanvar,,1
483,M,types,,0
484,M,types.mngs.types,,1
485,C,types.Annotated,,1
486,C,types.Any,,1
487,C,types.BinaryIO,,1
488,C,types.ForwardRef,,1
489,C,types.Generic,,1
490,C,types.IO,,1
491,F,types.NamedTuple,,1
492,C,types.NewType,,1
493,C,types.ParamSpec,,1
494,C,types.ParamSpecArgs,,1
495,C,types.ParamSpecKwargs,,1
496,C,types.Protocol,,1
497,C,types.SupportsAbs,,1
498,C,types.SupportsBytes,,1
499,C,types.SupportsComplex,,1
500,C,types.SupportsFloat,,1
501,C,types.SupportsIndex,,1
502,C,types.SupportsInt,,1
503,C,types.SupportsRound,,1
504,C,types.Text,,1
505,C,types.TextIO,,1
506,C,types.TypeVar,,1
507,C,types.TypeVarTuple,,1
508,F,types.TypedDict,,1
509,F,types.assert_never,,1
510,F,types.assert_type,,1
511,F,types.cast,,1
512,F,types.clear_overloads,,1
513,F,types.dataclass_transform,,1
514,F,types.final,,1
515,F,types.get_args,,1
516,F,types.get_origin,,1
517,F,types.get_overloads,,1
518,F,types.get_type_hints,,1
519,F,types.is_listed_X,,1
520,F,types.is_typeddict,,1
521,F,types.no_type_check,,1
522,F,types.no_type_check_decorator,,1
523,F,types.overload,,1
524,F,types.reveal_type,,1
525,F,types.runtime_checkable,,1
526,M,utils,,0
527,M,utils.mngs.utils,,1
528,F,utils.gen_ID,,1
529,F,utils.gen_footer,,1
530,F,utils.get_git_branch,,1
531,F,utils.get_hostname,,1
532,F,utils.get_username,,1
533,F,utils.notify,,1
534,F,utils.search,,1
535,F,utils.send_gmail,,1
536,M,web,,0
537,M,web.mngs.web,,1
538,F,web.summarize_url,,1
